time,j_pelvis_l,j_thigh1_l,j_thigh2_l,j_tibia_l,j_ankle1_l,j_ankle2_l,j_pelvis_r,j_thigh1_r,j_thigh2_r,j_tibia_r,j_ankle1_r,j_ankle2_r
0.051,-0.0,0.0008,0.5562,-1.105,-0.5446,-0.0002,0.0,0.0009,-0.5444,1.1064,0.5577,-0.0005
0.071,-0.0,0.0006,0.5564,-1.1046,-0.5453,0.0004,-0.0,0.0007,-0.5444,1.1056,0.5578,-0.0002
0.098,0.0,0.0003,0.5569,-1.1041,-0.5462,0.0004,-0.0,0.0004,-0.5448,1.1049,0.5586,0.0001
0.122,-0.0,0.0002,0.5577,-1.1036,-0.5466,0.0,-0.0,0.0002,-0.5455,1.1041,0.5592,-0.0
0.146,-0.0,0.0001,0.5582,-1.1036,-0.5458,-0.0001,-0.0,0.0003,-0.5459,1.1039,0.5586,-0.0001
0.185,-0.0,0.0002,0.5582,-1.1039,-0.5453,-0.0001,-0.0,0.0003,-0.5459,1.1043,0.558,-0.0001
0.217,-0.0,0.0002,0.5579,-1.1039,-0.5458,-0.0002,-0.0,0.0004,-0.5457,1.1043,0.5583,-0.0002
0.251,-0.0,0.0003,0.5579,-1.1038,-0.5457,-0.0002,-0.0,0.0004,-0.5457,1.1043,0.5584,-0.0003
0.282,-0.0,0.0004,0.5578,-1.1038,-0.5457,-0.0002,-0.0,0.0005,-0.5456,1.1044,0.5584,-0.0004
0.324,-0.0,0.0005,0.5578,-1.1038,-0.5457,-0.0002,-0.0,0.0006,-0.5456,1.1044,0.5584,-0.0004
0.347,-0.0,0.0005,0.5577,-1.1038,-0.5456,-0.0003,-0.0,0.0006,-0.5456,1.1045,0.5584,-0.0005
0.37,-0.0,0.0006,0.5576,-1.1038,-0.5456,-0.0003,-0.0,0.0007,-0.5456,1.1046,0.5584,-0.0005
0.402,-0.0,0.0007,0.5576,-1.1038,-0.5456,-0.0004,-0.0,0.0007,-0.5456,1.1047,0.5585,-0.0006
0.419,-0.0,0.0007,0.5575,-1.1038,-0.5455,-0.0004,-0.0,0.0008,-0.5456,1.1048,0.5585,-0.0006
0.445,-0.0,0.0008,0.5574,-1.1037,-0.5455,-0.0005,-0.0,0.0009,-0.5456,1.1049,0.5585,-0.0007
0.47,-0.0,0.0008,0.5573,-1.1037,-0.5454,-0.0005,-0.0,0.0009,-0.5456,1.105,0.5585,-0.0008
0.497,-0.0,0.0009,0.5573,-1.1037,-0.5453,-0.0006,-0.0,0.001,-0.5455,1.1051,0.5584,-0.0008
0.524,-0.0,0.0009,0.5572,-1.1037,-0.5453,-0.0007,-0.0,0.001,-0.5455,1.1052,0.5585,-0.0009
0.55,-0.0,0.001,0.5571,-1.1036,-0.5452,-0.0007,-0.0,0.0011,-0.5455,1.1053,0.5585,-0.0009
0.578,-0.0,0.001,0.557,-1.1036,-0.5451,-0.0008,-0.0,0.0011,-0.5455,1.1054,0.5584,-0.001
0.601,-0.0,0.0011,0.557,-1.1036,-0.5451,-0.0008,-0.0,0.0012,-0.5455,1.1055,0.5584,-0.001
0.627,-0.0,0.0011,0.5569,-1.1036,-0.545,-0.0009,-0.0,0.0012,-0.5455,1.1056,0.5584,-0.0011
0.658,-0.0,0.0012,0.5568,-1.1036,-0.545,-0.0009,-0.0,0.0013,-0.5455,1.1057,0.5584,-0.0011
0.682,-0.0,0.0012,0.5568,-1.1036,-0.5449,-0.001,-0.0,0.0013,-0.5455,1.1058,0.5584,-0.0012
0.709,-0.0,0.0012,0.5567,-1.1036,-0.5448,-0.001,-0.0,0.0013,-0.5454,1.1059,0.5584,-0.0012
0.733,-0.0,0.0013,0.5566,-1.1036,-0.5447,-0.001,-0.0,0.0013,-0.5454,1.1059,0.5583,-0.0012
0.762,-0.0,0.0013,0.5566,-1.1036,-0.5447,-0.001,-0.0,0.0014,-0.5454,1.106,0.5583,-0.0012
0.787,-0.0,0.0013,0.5565,-1.1036,-0.5447,-0.0011,-0.0,0.0014,-0.5453,1.1061,0.5583,-0.0013
0.812,0.0,0.0013,0.5564,-1.1036,-0.5445,-0.0011,-0.0,0.0014,-0.5453,1.1062,0.5582,-0.0013
0.84,0.0,0.0013,0.5564,-1.1037,-0.5445,-0.0011,-0.0,0.0014,-0.5453,1.1062,0.5582,-0.0013
0.865,0.0,0.0013,0.5563,-1.1037,-0.5445,-0.0011,-0.0,0.0014,-0.5452,1.1063,0.5582,-0.0013
0.891,0.0,0.0013,0.5563,-1.1037,-0.5444,-0.0011,-0.0,0.0014,-0.5452,1.1064,0.5581,-0.0013
0.916,0.0,0.0013,0.5562,-1.1038,-0.5443,-0.0011,-0.0,0.0014,-0.5451,1.1064,0.5581,-0.0013
0.943,0.0,0.0013,0.5562,-1.1038,-0.5443,-0.0011,-0.0,0.0014,-0.5451,1.1065,0.558,-0.0013
0.969,0.0,0.0013,0.5561,-1.1039,-0.5442,-0.0011,-0.0,0.0014,-0.545,1.1065,0.558,-0.0013
0.992,0.0,0.0013,0.5561,-1.1039,-0.5442,-0.0011,-0.0,0.0014,-0.545,1.1066,0.5579,-0.0013
1.018,0.0,0.0013,0.556,-1.104,-0.5441,-0.001,-0.0,0.0014,-0.5449,1.1066,0.5578,-0.0013
1.042,0.0,0.0013,0.556,-1.1041,-0.5441,-0.0011,-0.0,0.0014,-0.5449,1.1066,0.5578,-0.0012
1.066,0.0,0.0013,0.5559,-1.1041,-0.544,-0.0011,-0.0,0.0014,-0.5448,1.1067,0.5577,-0.0012
1.093,0.0,0.0012,0.5559,-1.1042,-0.544,-0.001,-0.0,0.0013,-0.5447,1.1067,0.5577,-0.0012
1.12,0.0,0.0012,0.5559,-1.1043,-0.5439,-0.001,-0.0,0.0013,-0.5447,1.1067,0.5576,-0.0012
1.146,0.0,0.0012,0.5558,-1.1044,-0.5439,-0.001,-0.0,0.0013,-0.5446,1.1068,0.5575,-0.0012
1.172,0.0,0.0012,0.5558,-1.1045,-0.5439,-0.0009,-0.0,0.0013,-0.5445,1.1068,0.5575,-0.0011
1.197,0.0,0.0011,0.5558,-1.1045,-0.5438,-0.0009,-0.0,0.0012,-0.5445,1.1068,0.5574,-0.0011
1.225,0.0,0.0011,0.5557,-1.1046,-0.5438,-0.0009,-0.0,0.0012,-0.5444,1.1068,0.5573,-0.001
1.248,0.0,0.0011,0.5557,-1.1047,-0.5437,-0.0008,-0.0,0.0012,-0.5443,1.1068,0.5573,-0.001
1.277,0.0,0.001,0.5557,-1.1048,-0.5437,-0.0008,-0.0,0.0011,-0.5443,1.1069,0.5572,-0.001
1.3,0.0,0.001,0.5557,-1.1049,-0.5437,-0.0008,-0.0,0.0011,-0.5442,1.1069,0.5571,-0.0009
1.326,0.0,0.001,0.5556,-1.105,-0.5436,-0.0007,-0.0,0.0011,-0.5441,1.1069,0.5571,-0.0009
1.355,0.0,0.001,0.5556,-1.105,-0.5436,-0.0007,-0.0,0.0011,-0.5441,1.1069,0.557,-0.0009
1.377,0.0,0.0009,0.5556,-1.1051,-0.5436,-0.0007,-0.0,0.001,-0.544,1.1069,0.5569,-0.0009
1.401,0.0,0.0009,0.5556,-1.1052,-0.5435,-0.0007,-0.0,0.001,-0.5439,1.1069,0.5569,-0.0008
1.423,0.0,0.0009,0.5555,-1.1053,-0.5435,-0.0006,-0.0,0.001,-0.5439,1.1069,0.5568,-0.0008
1.454,0.0,0.0008,0.5555,-1.1053,-0.5435,-0.0006,-0.0,0.0009,-0.5438,1.107,0.5568,-0.0008
1.47,0.0,0.0008,0.5555,-1.1054,-0.5434,-0.0006,-0.0,0.0009,-0.5438,1.107,0.5567,-0.0007
1.51,0.0,0.0008,0.5555,-1.1055,-0.5434,-0.0006,-0.0,0.0009,-0.5437,1.107,0.5567,-0.0007
1.535,0.0,0.0008,0.5554,-1.1055,-0.5434,-0.0005,-0.0,0.0009,-0.5437,1.107,0.5566,-0.0007
1.558,0.0,0.0008,0.5554,-1.1056,-0.5433,-0.0005,-0.0,0.0009,-0.5436,1.107,0.5566,-0.0006
1.585,0.0,0.0007,0.5554,-1.1057,-0.5433,-0.0005,-0.0,0.0008,-0.5436,1.107,0.5565,-0.0006
1.633,0.0,0.0007,0.5554,-1.1057,-0.5433,-0.0005,-0.0,0.0008,-0.5435,1.1071,0.5565,-0.0006
1.658,0.0,0.0007,0.5553,-1.1058,-0.5433,-0.0004,-0.0,0.0008,-0.5435,1.1071,0.5564,-0.0006
1.687,0.0,0.0007,0.5553,-1.1058,-0.5432,-0.0004,-0.0,0.0008,-0.5434,1.1071,0.5564,-0.0006
1.708,0.0,0.0007,0.5553,-1.1059,-0.5432,-0.0004,-0.0,0.0008,-0.5434,1.1071,0.5563,-0.0006
1.731,0.0,0.0007,0.5553,-1.1059,-0.5432,-0.0004,-0.0,0.0008,-0.5434,1.1071,0.5563,-0.0006
1.756,0.0,0.0007,0.5552,-1.1059,-0.5431,-0.0004,-0.0,0.0008,-0.5433,1.1072,0.5563,-0.0006
1.781,0.0,0.0007,0.5552,-1.106,-0.5431,-0.0004,-0.0,0.0008,-0.5433,1.1072,0.5563,-0.0006
1.808,0.0,0.0007,0.5552,-1.106,-0.5431,-0.0004,-0.0,0.0008,-0.5433,1.1072,0.5562,-0.0005
1.83,0.0,0.0007,0.5552,-1.106,-0.5431,-0.0004,-0.0,0.0008,-0.5432,1.1072,0.5562,-0.0005
1.855,0.0,0.0006,0.5552,-1.1061,-0.5431,-0.0004,-0.0,0.0008,-0.5432,1.1072,0.5562,-0.0006
1.88,0.0,0.0007,0.5551,-1.1061,-0.543,-0.0004,-0.0,0.0008,-0.5432,1.1073,0.5562,-0.0005
1.904,0.0,0.0007,0.5551,-1.1061,-0.543,-0.0004,-0.0,0.0008,-0.5432,1.1073,0.5561,-0.0006
1.932,0.0,0.0007,0.5551,-1.1061,-0.543,-0.0004,-0.0,0.0008,-0.5432,1.1073,0.5561,-0.0006
1.949,0.0,0.0007,0.5551,-1.1061,-0.543,-0.0004,-0.0,0.0008,-0.5431,1.1073,0.5561,-0.0005
1.976,0.0,0.0007,0.5551,-1.1061,-0.5429,-0.0004,-0.0,0.0008,-0.5431,1.1073,0.5561,-0.0006
1.998,0.0,0.0007,0.555,-1.1061,-0.5429,-0.0004,-0.0,0.0008,-0.5431,1.1074,0.5561,-0.0006
2.033,0.0,0.0007,0.555,-1.1062,-0.5429,-0.0004,-0.0,0.0008,-0.5431,1.1074,0.5561,-0.0006
2.07,0.0,0.0007,0.555,-1.1062,-0.5429,-0.0004,-0.0,0.0008,-0.5431,1.1074,0.5561,-0.0006
2.079,0.0,0.0007,0.555,-1.1061,-0.5429,-0.0005,-0.0,0.0008,-0.5431,1.1074,0.5561,-0.0006
2.11,0.0,0.0007,0.555,-1.1061,-0.5428,-0.0005,-0.0,0.0008,-0.5431,1.1074,0.5561,-0.0006
2.134,0.0,0.0008,0.555,-1.1061,-0.5429,-0.0005,-0.0,0.0009,-0.5431,1.1075,0.5561,-0.0007
2.163,0.0,0.0008,0.555,-1.1061,-0.5428,-0.0005,-0.0,0.0009,-0.5431,1.1075,0.5561,-0.0007
2.185,0.0,0.0008,0.555,-1.1061,-0.5428,-0.0005,-0.0,0.0009,-0.5431,1.1075,0.5561,-0.0007
2.211,0.0,0.0008,0.5549,-1.1061,-0.5428,-0.0006,-0.0,0.0009,-0.5431,1.1075,0.5561,-0.0007
2.237,0.0,0.0008,0.5549,-1.1061,-0.5428,-0.0006,-0.0,0.0009,-0.5431,1.1075,0.5561,-0.0007
2.267,0.0,0.0008,0.5549,-1.1061,-0.5428,-0.0006,-0.0,0.0009,-0.5431,1.1075,0.5561,-0.0007
2.293,0.0,0.0009,0.5549,-1.106,-0.5428,-0.0006,-0.0,0.001,-0.5432,1.1076,0.5561,-0.0008
2.32,0.0,0.0009,0.5549,-1.106,-0.5428,-0.0006,-0.0,0.001,-0.5432,1.1076,0.5561,-0.0008
2.348,0.0,0.0009,0.5549,-1.106,-0.5428,-0.0006,-0.0,0.001,-0.5432,1.1076,0.5561,-0.0008
2.375,0.0,0.0009,0.5549,-1.106,-0.5428,-0.0007,-0.0,0.001,-0.5432,1.1076,0.5562,-0.0008
2.399,0.0,0.0009,0.5549,-1.1059,-0.5428,-0.0007,-0.0,0.001,-0.5432,1.1076,0.5562,-0.0008
2.422,0.0,0.0009,0.5549,-1.1059,-0.5428,-0.0007,-0.0,0.001,-0.5432,1.1076,0.5562,-0.0008
2.446,0.0,0.0009,0.5549,-1.1059,-0.5428,-0.0007,-0.0,0.0011,-0.5433,1.1076,0.5562,-0.0008
2.469,0.0,0.0009,0.5549,-1.1058,-0.5428,-0.0007,-0.0,0.0011,-0.5433,1.1076,0.5563,-0.0009
2.494,0.0,0.001,0.5549,-1.1058,-0.5428,-0.0007,-0.0,0.0011,-0.5433,1.1076,0.5563,-0.0009
2.519,0.0,0.001,0.5549,-1.1058,-0.5428,-0.0007,-0.0,0.0011,-0.5433,1.1076,0.5563,-0.0009
2.549,0.0,0.001,0.555,-1.1058,-0.5428,-0.0008,-0.0,0.0011,-0.5434,1.1076,0.5563,-0.0009
2.573,0.0,0.001,0.555,-1.1057,-0.5428,-0.0008,-0.0,0.0011,-0.5434,1.1076,0.5563,-0.0009
2.6,0.0,0.001,0.555,-1.1057,-0.5429,-0.0007,-0.0,0.0011,-0.5434,1.1076,0.5564,-0.0009
2.617,0.0,0.001,0.555,-1.1057,-0.5429,-0.0008,-0.0,0.0011,-0.5434,1.1076,0.5564,-0.0009
2.644,0.0,0.001,0.555,-1.1056,-0.5429,-0.0008,-0.0,0.0011,-0.5435,1.1076,0.5564,-0.001
2.671,0.0,0.001,0.555,-1.1056,-0.5429,-0.0008,-0.0,0.0011,-0.5435,1.1075,0.5564,-0.001
2.702,0.0,0.001,0.5551,-1.1056,-0.543,-0.0008,-0.0,0.0011,-0.5435,1.1075,0.5565,-0.0009
2.742,0.0,0.001,0.5551,-1.1055,-0.543,-0.0008,-0.0,0.0011,-0.5435,1.1075,0.5565,-0.0009
2.769,0.0,0.001,0.5551,-1.1055,-0.543,-0.0008,-0.0,0.0011,-0.5436,1.1075,0.5565,-0.001
2.794,0.0,0.001,0.5552,-1.1055,-0.543,-0.0008,-0.0,0.0011,-0.5436,1.1074,0.5566,-0.0009
2.822,0.0,0.001,0.5552,-1.1055,-0.5431,-0.0008,-0.0,0.0011,-0.5436,1.1074,0.5566,-0.001
2.854,-0.0,0.001,0.5552,-1.1054,-0.5431,-0.0008,-0.0,0.0011,-0.5436,1.1074,0.5566,-0.0009
2.875,-0.0,0.001,0.5552,-1.1054,-0.5431,-0.0008,-0.0,0.0011,-0.5437,1.1073,0.5567,-0.0009
2.937,0.0,0.001,0.5553,-1.1054,-0.5432,-0.0008,-0.0,0.0011,-0.5437,1.1073,0.5567,-0.0009
2.975,0.0,0.001,0.5553,-1.1054,-0.5432,-0.0008,-0.0,0.0011,-0.5437,1.1073,0.5567,-0.0009
3.008,0.0,0.001,0.5554,-1.1053,-0.5433,-0.0008,-0.0,0.0011,-0.5438,1.1072,0.5568,-0.0009
3.073,0.0,0.001,0.5554,-1.1053,-0.5433,-0.0008,-0.0,0.0011,-0.5438,1.1072,0.5568,-0.0009
3.096,0.0,0.001,0.5554,-1.1053,-0.5433,-0.0008,-0.0,0.0011,-0.5438,1.1071,0.5568,-0.0009
3.125,0.0,0.001,0.5555,-1.1052,-0.5434,-0.0007,-0.0,0.0011,-0.5438,1.1071,0.5568,-0.0009
3.155,0.0,0.001,0.5555,-1.1052,-0.5434,-0.0007,-0.0,0.0011,-0.5439,1.107,0.5569,-0.0009
3.181,0.0,0.0009,0.5556,-1.1052,-0.5434,-0.0007,-0.0,0.0011,-0.5439,1.107,0.5569,-0.0009
3.206,0.0,0.0009,0.5556,-1.1052,-0.5435,-0.0007,-0.0,0.0011,-0.5439,1.1069,0.5569,-0.0009
3.231,0.0,0.0009,0.5556,-1.1051,-0.5436,-0.0007,-0.0,0.0011,-0.544,1.1069,0.557,-0.0009
3.255,0.0,0.0009,0.5557,-1.1051,-0.5436,-0.0007,-0.0,0.001,-0.544,1.1068,0.557,-0.0009
3.28,0.0,0.0009,0.5557,-1.1051,-0.5436,-0.0007,-0.0,0.001,-0.544,1.1068,0.557,-0.0008
3.31,0.0,0.0009,0.5558,-1.1051,-0.5437,-0.0007,-0.0,0.001,-0.5441,1.1067,0.5571,-0.0008
3.332,0.0,0.0009,0.5558,-1.105,-0.5437,-0.0007,-0.0,0.001,-0.5441,1.1067,0.5571,-0.0008
3.358,0.0,0.0009,0.5559,-1.105,-0.5438,-0.0007,-0.0,0.001,-0.5441,1.1066,0.5571,-0.0008
3.386,-0.0,0.0009,0.5559,-1.105,-0.5438,-0.0007,-0.0,0.001,-0.5442,1.1066,0.5572,-0.0008
3.413,-0.0,0.0009,0.5559,-1.1049,-0.5438,-0.0006,-0.0,0.001,-0.5442,1.1066,0.5572,-0.0008
3.443,-0.0,0.0009,0.556,-1.1049,-0.5439,-0.0006,-0.0,0.001,-0.5442,1.1065,0.5572,-0.0008
3.479,-0.0,0.0009,0.556,-1.1049,-0.5439,-0.0006,-0.0,0.001,-0.5443,1.1065,0.5573,-0.0008
3.501,-0.0,0.0009,0.5561,-1.1049,-0.544,-0.0006,-0.0,0.001,-0.5443,1.1064,0.5573,-0.0008
3.536,-0.0,0.0008,0.5561,-1.1048,-0.544,-0.0006,-0.0,0.001,-0.5443,1.1064,0.5574,-0.0008
3.578,-0.0,0.0008,0.5561,-1.1048,-0.5441,-0.0006,-0.0,0.001,-0.5444,1.1063,0.5574,-0.0008
3.616,-0.0,0.0008,0.5562,-1.1048,-0.5441,-0.0006,-0.0,0.001,-0.5444,1.1063,0.5574,-0.0008
3.661,0.0,0.0008,0.5562,-1.1047,-0.5441,-0.0006,-0.0,0.001,-0.5444,1.1062,0.5575,-0.0007
3.69,0.0,0.0008,0.5563,-1.1047,-0.5442,-0.0006,-0.0,0.001,-0.5445,1.1062,0.5575,-0.0008
3.719,0.0,0.0008,0.5563,-1.1047,-0.5442,-0.0006,-0.0,0.001,-0.5445,1.1062,0.5575,-0.0008
3.746,0.0,0.0008,0.5563,-1.1046,-0.5442,-0.0006,-0.0,0.001,-0.5445,1.1061,0.5576,-0.0008
3.777,0.0,0.0008,0.5564,-1.1046,-0.5443,-0.0006,-0.0,0.001,-0.5445,1.1061,0.5576,-0.0008
3.805,0.0,0.0008,0.5564,-1.1046,-0.5443,-0.0006,-0.0,0.001,-0.5446,1.106,0.5576,-0.0007
3.832,0.0,0.0008,0.5564,-1.1045,-0.5443,-0.0006,-0.0,0.001,-0.5446,1.106,0.5577,-0.0007
3.861,-0.0,0.0008,0.5565,-1.1045,-0.5444,-0.0006,-0.0,0.001,-0.5446,1.106,0.5577,-0.0007
3.892,-0.0,0.0008,0.5565,-1.1045,-0.5444,-0.0006,-0.0,0.001,-0.5447,1.1059,0.5577,-0.0007
3.931,-0.0,0.0008,0.5565,-1.1044,-0.5445,-0.0006,-0.0,0.001,-0.5447,1.1059,0.5577,-0.0007
3.974,-0.0,0.0008,0.5566,-1.1044,-0.5445,-0.0006,-0.0,0.001,-0.5447,1.1059,0.5578,-0.0008
4.009,0.0,0.0008,0.5566,-1.1044,-0.5445,-0.0006,-0.0,0.001,-0.5448,1.1059,0.5578,-0.0008
4.046,-0.0,0.0008,0.5566,-1.1044,-0.5446,-0.0006,-0.0,0.001,-0.5448,1.1058,0.5578,-0.0008
4.07,-0.0,0.0008,0.5566,-1.1043,-0.5446,-0.0006,-0.0,0.001,-0.5448,1.1058,0.5579,-0.0008
4.102,-0.0,0.0008,0.5567,-1.1043,-0.5446,-0.0006,-0.0,0.001,-0.5449,1.1058,0.5579,-0.0008
4.134,-0.0,0.0008,0.5567,-1.1043,-0.5446,-0.0006,-0.0,0.001,-0.5449,1.1057,0.5579,-0.0007
4.175,-0.0,0.0008,0.5567,-1.1042,-0.5446,-0.0006,-0.0,0.001,-0.5449,1.1057,0.558,-0.0008
4.21,-0.0,0.0008,0.5567,-1.1042,-0.5447,-0.0006,-0.0,0.001,-0.5449,1.1057,0.558,-0.0008
4.245,-0.0,0.0009,0.5568,-1.1042,-0.5447,-0.0006,-0.0,0.001,-0.545,1.1057,0.558,-0.0008
4.283,0.0,0.0009,0.5568,-1.1042,-0.5447,-0.0006,-0.0,0.001,-0.545,1.1057,0.558,-0.0008
4.308,0.0,0.0009,0.5568,-1.1041,-0.5447,-0.0006,-0.0,0.001,-0.545,1.1056,0.5581,-0.0008
4.343,0.0,0.0009,0.5568,-1.1041,-0.5448,-0.0006,-0.0,0.001,-0.545,1.1056,0.5581,-0.0008
4.375,0.0,0.0009,0.5568,-1.1041,-0.5448,-0.0006,-0.0,0.001,-0.545,1.1056,0.5581,-0.0008
4.4,0.0,0.0009,0.5568,-1.1041,-0.5448,-0.0007,-0.0,0.001,-0.5451,1.1056,0.5581,-0.0008
4.423,0.0,0.0009,0.5568,-1.104,-0.5448,-0.0006,-0.0,0.001,-0.5451,1.1056,0.5581,-0.0008
4.448,0.0,0.0009,0.5569,-1.104,-0.5448,-0.0007,-0.0,0.001,-0.5451,1.1056,0.5582,-0.0008
4.482,0.0,0.0009,0.5569,-1.104,-0.5448,-0.0006,-0.0,0.001,-0.5451,1.1056,0.5582,-0.0008
4.504,0.0,0.0009,0.5569,-1.104,-0.5448,-0.0007,-0.0,0.001,-0.5451,1.1056,0.5582,-0.0008
4.527,-0.0,0.0009,0.5569,-1.104,-0.5449,-0.0007,-0.0,0.001,-0.5451,1.1056,0.5582,-0.0008
4.564,-0.0,0.0009,0.5569,-1.104,-0.5449,-0.0007,-0.0,0.001,-0.5452,1.1056,0.5582,-0.0008
4.59,0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.001,-0.5452,1.1055,0.5582,-0.0008
4.612,0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.001,-0.5452,1.1055,0.5582,-0.0009
4.634,0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.001,-0.5452,1.1055,0.5582,-0.0009
4.674,-0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.001,-0.5452,1.1055,0.5582,-0.0009
4.714,-0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1055,0.5583,-0.0009
4.754,-0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1055,0.5583,-0.0009
4.794,0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1055,0.5583,-0.0009
4.796,0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1055,0.5583,-0.0009
4.834,-0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1055,0.5583,-0.0008
4.874,-0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1056,0.5583,-0.0009
4.914,0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1056,0.5582,-0.0008
4.954,0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1056,0.5582,-0.0008
4.994,0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1056,0.5582,-0.0008
5.034,0.0,0.0009,0.5569,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1056,0.5582,-0.0009
5.074,0.0,0.0009,0.5569,-1.1039,-0.5448,-0.0007,-0.0,0.0011,-0.5452,1.1056,0.5582,-0.0009
5.114,0.0,0.0009,0.5568,-1.1039,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1056,0.5582,-0.0009
5.118,0.0,0.0009,0.5568,-1.104,-0.5449,-0.0007,-0.0,0.0011,-0.5452,1.1056,0.5582,-0.0009
5.158,0.0,0.0009,0.5568,-1.104,-0.5448,-0.0007,-0.0,0.0011,-0.5451,1.1056,0.5582,-0.0009
5.198,0.0,0.0009,0.5568,-1.104,-0.5448,-0.0007,-0.0,0.001,-0.5451,1.1056,0.5582,-0.0009
5.238,0.0,0.0009,0.5568,-1.104,-0.5448,-0.0007,-0.0,0.001,-0.5451,1.1057,0.5581,-0.0009
5.281,0.0,0.0009,0.5568,-1.104,-0.5448,-0.0007,-0.0,0.001,-0.5451,1.1057,0.5581,-0.0008
5.309,0.0,0.0009,0.5568,-1.1041,-0.5448,-0.0007,-0.0,0.001,-0.5451,1.1057,0.5581,-0.0008
5.346,0.0,0.0009,0.5567,-1.1041,-0.5447,-0.0007,-0.0,0.001,-0.545,1.1057,0.5581,-0.0008
5.386,0.0,0.0009,0.5567,-1.1041,-0.5447,-0.0007,-0.0,0.001,-0.545,1.1057,0.558,-0.0008
5.426,0.0,0.0009,0.5567,-1.1041,-0.5447,-0.0007,-0.0,0.001,-0.545,1.1058,0.558,-0.0008
5.431,0.0,0.0009,0.5567,-1.1042,-0.5447,-0.0007,-0.0,0.001,-0.545,1.1058,0.558,-0.0008
5.471,0.0,0.0009,0.5566,-1.1042,-0.5446,-0.0007,-0.0,0.001,-0.5449,1.1058,0.5579,-0.0008
5.51,-0.0,0.0009,0.5566,-1.1042,-0.5446,-0.0007,-0.0,0.001,-0.5449,1.1058,0.5579,-0.0008
5.55,-0.0,0.0009,0.5566,-1.1043,-0.5446,-0.0007,-0.0,0.001,-0.5449,1.1059,0.5579,-0.0008
5.56,-0.0,0.0009,0.5565,-1.1043,-0.5446,-0.0007,-0.0,0.001,-0.5448,1.1059,0.5579,-0.0008
5.598,-0.0,0.0009,0.5565,-1.1043,-0.5445,-0.0007,-0.0,0.001,-0.5448,1.1059,0.5578,-0.0008
5.638,-0.0,0.0009,0.5565,-1.1044,-0.5445,-0.0007,-0.0,0.001,-0.5448,1.1059,0.5578,-0.0008
5.679,-0.0,0.0009,0.5565,-1.1044,-0.5445,-0.0006,-0.0,0.001,-0.5448,1.106,0.5578,-0.0008
5.718,-0.0,0.0009,0.5564,-1.1044,-0.5444,-0.0007,-0.0,0.001,-0.5447,1.106,0.5577,-0.0008
5.759,0.0,0.0009,0.5564,-1.1044,-0.5444,-0.0007,-0.0,0.001,-0.5447,1.106,0.5577,-0.0008
5.798,0.0,0.0009,0.5564,-1.1045,-0.5444,-0.0006,-0.0,0.001,-0.5447,1.1061,0.5577,-0.0008
5.838,0.0,0.0009,0.5563,-1.1045,-0.5443,-0.0007,-0.0,0.001,-0.5446,1.1061,0.5576,-0.0008
5.85,0.0,0.0009,0.5563,-1.1045,-0.5443,-0.0006,-0.0,0.001,-0.5446,1.1061,0.5576,-0.0008
5.89,0.0,0.0009,0.5563,-1.1046,-0.5443,-0.0006,-0.0,0.001,-0.5446,1.1061,0.5576,-0.0008
5.93,0.0,0.0009,0.5563,-1.1046,-0.5443,-0.0006,-0.0,0.001,-0.5446,1.1062,0.5575,-0.0008
5.97,0.0,0.0009,0.5562,-1.1046,-0.5442,-0.0006,-0.0,0.001,-0.5445,1.1062,0.5575,-0.0008
6.01,0.0,0.0009,0.5562,-1.1047,-0.5442,-0.0007,-0.0,0.001,-0.5445,1.1062,0.5575,-0.0008
6.05,0.0,0.0009,0.5562,-1.1047,-0.5442,-0.0007,-0.0,0.001,-0.5445,1.1063,0.5574,-0.0008
6.091,0.0,0.0009,0.5561,-1.1047,-0.5441,-0.0007,-0.0,0.001,-0.5444,1.1063,0.5574,-0.0008
6.13,0.0,0.0009,0.5561,-1.1048,-0.5441,-0.0007,-0.0,0.001,-0.5444,1.1063,0.5574,-0.0008
