Created log file at 20160729002344
[20160729005022] GBest Fitness: 0.782446369965 GBest position: [2.315366288384693, 1.1893484572811754, 2.549824716727847, 1.7094257643525828, 2.641335608433227, 2.4731697779980686, 1.8565183479552856, 1.4009712079322307, 2.3083781872124414, 1.7152167126368632, 2.591857437965145, 1.655102770783528, 1.656488547545608, 2.8116242065914085, 2.639198476289356, 1.6434666540971798, 1.4322695988126526, 2.0984917601665085, 2.820120034820418, 2.3500324746285464, 0.3525906076533937, 1.9364966839860163, 3.1477009867231733, 9.942556523094016]
[20160729011230] GBest Fitness: 0.868306597159 GBest position: [2.4493743511770534, 2.54876787161894, 1.7486189753259833, 1.766640670873079, 2.506972889886946, 1.9017542645638255, 2.162798445961875, 2.6443247368721856, 2.824209068126748, 2.159615745257504, 3.0, 2.8249631472785275, 2.8370937572857478, 2.944507038879666, 1.684855056612196, 2.849505765611439, 1.7350150221956568, 3.0, 3.0, 2.6948481944536473, 3.165036878870961, 2.1889222792101743, 5.966968835247562, 7.10800287292028]
[20160729013257] GBest Fitness: 1.02075316412 GBest position: [2.6952045860110965, 2.39179856489192, 2.29906690479655, 2.1240420956488495, 3.0, 2.4459241863454446, 2.474370094709735, 2.809856097717237, 3.0, 2.607228673791854, 3.0, 2.9929019121569347, 2.633731210697096, 2.4076501368786953, 2.2302901177898855, 3.0, 1.913594262487794, 2.3733484797223614, 3.0, 3.0, 2.2458862476400583, 1.8232132611412335, 5.593949720575285, 8.933213335767453]
[20160729015248] GBest Fitness: 1.02075316412 GBest position: [2.6952045860110965, 2.39179856489192, 2.29906690479655, 2.1240420956488495, 3.0, 2.4459241863454446, 2.474370094709735, 2.809856097717237, 3.0, 2.607228673791854, 3.0, 2.9929019121569347, 2.633731210697096, 2.4076501368786953, 2.2302901177898855, 3.0, 1.913594262487794, 2.3733484797223614, 3.0, 3.0, 2.2458862476400583, 1.8232132611412335, 5.593949720575285, 8.933213335767453]
[20160729021214] GBest Fitness: 1.02075316412 GBest position: [2.6952045860110965, 2.39179856489192, 2.29906690479655, 2.1240420956488495, 3.0, 2.4459241863454446, 2.474370094709735, 2.809856097717237, 3.0, 2.607228673791854, 3.0, 2.9929019121569347, 2.633731210697096, 2.4076501368786953, 2.2302901177898855, 3.0, 1.913594262487794, 2.3733484797223614, 3.0, 3.0, 2.2458862476400583, 1.8232132611412335, 5.593949720575285, 8.933213335767453]
[20160729023214] GBest Fitness: 1.02075316412 GBest position: [2.6952045860110965, 2.39179856489192, 2.29906690479655, 2.1240420956488495, 3.0, 2.4459241863454446, 2.474370094709735, 2.809856097717237, 3.0, 2.607228673791854, 3.0, 2.9929019121569347, 2.633731210697096, 2.4076501368786953, 2.2302901177898855, 3.0, 1.913594262487794, 2.3733484797223614, 3.0, 3.0, 2.2458862476400583, 1.8232132611412335, 5.593949720575285, 8.933213335767453]
[20160729025305] GBest Fitness: 1.02075316412 GBest position: [2.6952045860110965, 2.39179856489192, 2.29906690479655, 2.1240420956488495, 3.0, 2.4459241863454446, 2.474370094709735, 2.809856097717237, 3.0, 2.607228673791854, 3.0, 2.9929019121569347, 2.633731210697096, 2.4076501368786953, 2.2302901177898855, 3.0, 1.913594262487794, 2.3733484797223614, 3.0, 3.0, 2.2458862476400583, 1.8232132611412335, 5.593949720575285, 8.933213335767453]
[20160729031420] GBest Fitness: 1.02075316412 GBest position: [2.6952045860110965, 2.39179856489192, 2.29906690479655, 2.1240420956488495, 3.0, 2.4459241863454446, 2.474370094709735, 2.809856097717237, 3.0, 2.607228673791854, 3.0, 2.9929019121569347, 2.633731210697096, 2.4076501368786953, 2.2302901177898855, 3.0, 1.913594262487794, 2.3733484797223614, 3.0, 3.0, 2.2458862476400583, 1.8232132611412335, 5.593949720575285, 8.933213335767453]
[20160729033605] GBest Fitness: 1.02075316412 GBest position: [2.6952045860110965, 2.39179856489192, 2.29906690479655, 2.1240420956488495, 3.0, 2.4459241863454446, 2.474370094709735, 2.809856097717237, 3.0, 2.607228673791854, 3.0, 2.9929019121569347, 2.633731210697096, 2.4076501368786953, 2.2302901177898855, 3.0, 1.913594262487794, 2.3733484797223614, 3.0, 3.0, 2.2458862476400583, 1.8232132611412335, 5.593949720575285, 8.933213335767453]
[20160729035754] GBest Fitness: 1.02075316412 GBest position: [2.6952045860110965, 2.39179856489192, 2.29906690479655, 2.1240420956488495, 3.0, 2.4459241863454446, 2.474370094709735, 2.809856097717237, 3.0, 2.607228673791854, 3.0, 2.9929019121569347, 2.633731210697096, 2.4076501368786953, 2.2302901177898855, 3.0, 1.913594262487794, 2.3733484797223614, 3.0, 3.0, 2.2458862476400583, 1.8232132611412335, 5.593949720575285, 8.933213335767453]
[20160729041945] GBest Fitness: 1.02075316412 GBest position: [2.6952045860110965, 2.39179856489192, 2.29906690479655, 2.1240420956488495, 3.0, 2.4459241863454446, 2.474370094709735, 2.809856097717237, 3.0, 2.607228673791854, 3.0, 2.9929019121569347, 2.633731210697096, 2.4076501368786953, 2.2302901177898855, 3.0, 1.913594262487794, 2.3733484797223614, 3.0, 3.0, 2.2458862476400583, 1.8232132611412335, 5.593949720575285, 8.933213335767453]
